,"Poster_Link","Series_Title","Runtime_of_Series","Certificate","Runtime_of_Episodes","Genre","IMDB_Rating","Overview","Star1","Star2","Star3","Star4","No_of_Votes","Genre1","Genre2","Genre3"	
22,"https://m.media-amazon.com/images/M/MV5BMDIzNzYwNTctZWY4Mi00YjQ2LWI5YWYtMzdmNDgwMGI4Yzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR5,0,67,98_AL_.jpg","The Flash","(2014â€“ )","12+","43 min","Action, Adventure, Drama",7.7,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Grant Gustin","Candice Patton","Danielle Panabaker","Carlos Valdes",305593,"Action"," Adventure"," Drama"	
23,"https://m.media-amazon.com/images/M/MV5BOGE4MmVjMDgtMzIzYy00NjEwLWJlODMtMDI1MGY2ZDlhMzE2XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX67_CR0,0,67,98_AL_.jpg","The Witcher","(2019â€“ )","","60 min","Action, Adventure, Fantasy",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill","Freya Allan","Yasen Atour","Basil Eidenbenz",301304,"Action"," Adventure"," Fantasy"	
24,"https://m.media-amazon.com/images/M/MV5BZDcxOGI0MDYtNTc5NS00NDUzLWFkOTItNDIxZjI0OTllNTljXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","La casa de papel","(2017â€“ )","16+","70 min","Action, Crime, Mystery",8.3,"An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","Ãšrsula CorberÃ³","Ãlvaro Morte","Itziar ItuÃ±o","Pedro Alonso",299735,"Action"," Crime"," Mystery"	
25,"https://m.media-amazon.com/images/M/MV5BZDhlMzY0ZGItZTcyNS00ZTAxLWIyMmYtZGQ2ODg5OWZiYmJkXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX67_CR0,0,67,98_AL_.jpg","The Mandalorian","(2019â€“ )","U","40 min","Action, Adventure, Sci-Fi",8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal","Gina Carano","Giancarlo Esposito","Chris Bartlett",291461,"Action"," Adventure"," Sci-Fi"	
26,"https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg","The Wire","(2002â€“2008)","15+","59 min","Crime, Drama, Thriller",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Dominic West","Lance Reddick","Sonja Sohn","Wendell Pierce",286093,"Crime"," Drama"," Thriller"	
27,"https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Dark","(2017â€“2020)","16+","60 min","Crime, Drama, Mystery",8.8,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Louis Hofmann","Karoline Eichhorn","Lisa Vicari","Maja SchÃ¶ne",285156,"Crime"," Drama"," Mystery"	
28,"https://m.media-amazon.com/images/M/MV5BMDk3YzgxNDQtNTEzOS00NDMyLWFlYmYtYTZlMDk1NDkxNmMyXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg","The Vampire Diaries","(2009â€“2017)","16+","43 min","Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Nina Dobrev","Paul Wesley","Ian Somerhalder","Kat Graham",283524,"Drama"," Fantasy"," Horror"	
29,"https://m.media-amazon.com/images/M/MV5BYjYyM2FmMmMtZDgyZi00NGU3LWI3NzktODllZDY0YzQyNzgyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Orange Is the New Black","(2013â€“2019)","18+","59 min","Comedy, Crime, Drama",8.1,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","Taylor Schilling","Danielle Brooks","Taryn Manning","Emma Myles",279138,"Comedy"," Crime"," Drama"	
30,"https://m.media-amazon.com/images/M/MV5BODZlYzc2ODYtYmQyZS00ZTM4LTk4ZDQtMTMyZDdhMDgzZTU0XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg","American Horror Story","(2011â€“ )","A","60 min","Drama, Horror, Thriller",8,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","Lady Gaga","Kathy Bates","Angela Bassett","Sarah Paulson",277746,"Drama"," Horror"," Thriller"	
31,"https://m.media-amazon.com/images/M/MV5BMTEyODg2NzkwMDBeQTJeQWpwZ15BbWU4MDQwODI3MzIx._V1_UX67_CR0,0,67,98_AL_.jpg","Sons of Anarchy","(2008â€“2014)","18","45 min","Crime, Drama, Thriller",8.5,"A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","Charlie Hunnam","Katey Sagal","Mark Boone Junior","Kim Coates",260564,"Crime"," Drama"," Thriller"	
32,"https://m.media-amazon.com/images/M/MV5BMDYzZTRlNGEtZDc2Mi00ZGNjLTlmZDAtMmVjMDZkOThiODEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","13 Reasons Why","(2017â€“2020)","16+","60 min","Drama, Mystery, Thriller",7.6,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","Dylan Minnette","Katherine Langford","Christian Navarro","Alisha Boe",256630,"Drama"," Mystery"," Thriller"	
33,"https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_UX67_CR0,0,67,98_AL_.jpg","Avatar: The Last Airbender","(2005â€“2008)","U","23 min","Animation, Action, Adventure",9.2,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Dee Bradley Baker","Zach Tyler","Mae Whitman","Jack De Sena",248751,"Animation"," Action"," Adventure"	
34,"https://m.media-amazon.com/images/M/MV5BNGEyOGJiNWEtMTgwMi00ODU4LTlkMjItZWI4NjFmMzgxZGY2XkEyXkFqcGdeQXVyNjcyNjcyMzQ@._V1_UX67_CR0,0,67,98_AL_.jpg","The Boys","(2019â€“ )","18+","60 min","Action, Comedy, Crime",8.7,"A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.","Karl Urban","Jack Quaid","Antony Starr","Erin Moriarty",248397,"Action"," Comedy"," Crime"	
35,"https://m.media-amazon.com/images/M/MV5BOTcwNzkwMDItZmM1OC00MmQ2LTgxYjgtOTNiNDgxZDAxMjk0XkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_UX67_CR0,0,67,98_AL_.jpg","Firefly","(2002â€“2003)","","44 min","Adventure, Drama, Sci-Fi",9,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Nathan Fillion","Gina Torres","Alan Tudyk","Morena Baccarin",244134,"Adventure"," Drama"," Sci-Fi"	
